"grid_point_index","kss_value","seed","ofv","add.err","prop.err","status","elapsed_sec","timestamp"
1,0.281813392267467,42,7917.04087433483,1.71,0.165,"OK",2781.6,"2026-08-29 22:45:53"
1,0.281813392267467,123,8943.45229586428,2.91,0.22,"OK",2112.1,"2026-08-29 23:21:22"
1,0.281813392267467,999,8950.16825563974,2.85,0.222,"OK",2237.1,"2026-08-29 23:58:55"
1,0.281813392267467,7,9660.50901710585,3.45,0.292,"OK",2151.3,"2026-08-30 00:35:02"
1,0.281813392267467,2024,8912.16484670911,2.64,0.227,"OK",2394.2,"2026-08-30 01:15:13"
2,0.464631734199532,42,11032.6490047196,5.16,0.504,"OK",2597.6,"2026-08-30 01:58:47"
2,0.464631734199532,123,8993.33891987963,2.98,0.222,"OK",2608,"2026-08-30 02:42:32"
2,0.464631734199532,999,9016.62023892501,2.91,0.227,"OK",2641.7,"2026-08-30 03:26:50"
2,0.464631734199532,7,6738.85432215587,0.994,0.0965,"OK",2610.5,"2026-08-30 04:10:37"
2,0.464631734199532,2024,8913.90534814948,2.66,0.226,"OK",2677.3,"2026-08-30 04:55:31"
3,0.766048223217056,42,11118.4225976178,5.27,0.525,"OK",2505,"2026-08-30 05:37:33"
3,0.766048223217056,123,9026.89988747445,3,0.226,"OK",2567.7,"2026-08-30 06:20:38"
3,0.766048223217056,999,8972.3621953884,2.9,0.223,"OK",2586.7,"2026-08-30 07:04:01"
3,0.766048223217056,7,9696.50433385499,3.47,0.298,"OK",2536,"2026-08-30 07:46:34"
3,0.766048223217056,2024,8928.19573492261,2.67,0.228,"OK",2623.9,"2026-08-30 08:30:35"
4,1.263,42,10571.5793268074,4.56,0.416,"OK",2504.8,"2026-08-30 09:12:36"
4,1.263,123,9017.78062870589,3.01,0.224,"OK",2496,"2026-08-30 09:54:29"
4,1.263,999,9005.62945728023,2.92,0.226,"OK",2602.5,"2026-08-30 10:38:08"
4,1.263,7,9659.41099274531,3.45,0.293,"OK",2474,"2026-08-30 11:19:39"
4,1.263,2024,8919.6837109228,2.67,0.226,"OK",6596.3,"2026-08-30 13:09:52"
5,2.08233496489426,42,10580.5695009898,4.56,0.419,"OK",2023.5,"2026-08-30 13:43:52"
5,2.08233496489426,123,8013.34580853237,1.95,0.163,"OK",2796.8,"2026-08-30 14:30:45"
5,2.08233496489426,999,8971.55512956364,2.79,0.228,"OK",2948,"2026-08-30 15:20:09"
5,2.08233496489426,7,9705.58186847166,3.52,0.297,"OK",2470.4,"2026-08-30 17:02:42"
5,2.08233496489426,2024,8941.01782951493,2.74,0.227,"OK",2517.1,"2026-08-30 17:44:55"
6,3.43318994934377,42,10154.1780111945,4.03,0.354,"OK",2474.2,"2026-08-30 18:31:38"
6,3.43318994934377,123,9040.99308593224,3.04,0.226,"OK",2430.5,"2026-08-30 19:12:25"
6,3.43318994934377,999,8973.80075947653,2.96,0.219,"OK",2496,"2026-08-30 20:18:39"
6,3.43318994934377,7,8069.12208601709,1.83,0.173,"OK",1988.2,"2026-08-30 21:43:16"
6,3.43318994934377,2024,8792.69047851465,2.58,0.216,"OK",2556.2,"2026-08-30 22:26:09"
7,5.66037329583698,42,10227.6159954093,4.22,0.358,"OK",2168.1,"2026-08-30 23:02:33"
7,5.66037329583698,123,9029.09861954138,2.96,0.227,"OK",2390.4,"2026-08-30 23:52:30"
7,5.66037329583698,999,8956.35126906032,2.91,0.22,"OK",2462.2,"2026-08-31 00:33:49"
7,5.66037329583698,7,9655.95592252421,3.56,0.286,"OK",2380.9,"2026-08-31 01:13:47"
7,5.66037329583698,2024,8860.83028293891,2.7,0.217,"OK",2500.5,"2026-08-31 01:55:44"
