"grid_point_index","kss_value","seed","ofv","add.err","prop.err","status","elapsed_sec","timestamp"
1,0.281813392267467,42,5056.06003880426,13.2,1.22,"OK",886.1,"2026-08-27 21:15:07"
1,0.281813392267467,123,2855.88516373091,0.923,0.12,"OK",983.8,"2026-08-27 21:31:47"
1,0.281813392267467,999,4714.62297239984,9.62,0.776,"OK",978.6,"2026-08-27 21:48:23"
2,0.464631734199532,42,5058.70168489872,13.2,1.23,"OK",860.5,"2026-08-27 22:03:00"
2,0.464631734199532,123,2852.64470462885,0.942,0.12,"OK",962.6,"2026-08-27 22:19:19"
2,0.464631734199532,999,4709.96984325631,9.42,0.775,"OK",950.1,"2026-08-27 22:35:26"
3,0.766048223217056,42,5057.26419513205,13.4,1.2,"OK",851.9,"2026-08-27 22:49:54"
3,0.766048223217056,123,4511.94114547303,7.75,0.617,"OK",957.2,"2026-08-27 23:06:08"
3,0.766048223217056,999,4714.23261163269,9.4,0.773,"OK",925.5,"2026-08-27 23:21:50"
4,1.263,42,2830.08646579694,0.892,0.122,"OK",965.7,"2026-08-27 23:38:12"
4,1.263,123,2856.27348401137,0.977,0.118,"OK",944.1,"2026-08-27 23:54:13"
4,1.263,999,4712.31641545836,9.49,0.772,"OK",915.7,"2026-08-28 00:22:35"
5,2.08233496489426,42,5072.36755076101,13.1,1.29,"OK",823.7,"2026-08-28 00:36:36"
5,2.08233496489426,123,4513.82817094983,7.78,0.621,"OK",939.2,"2026-08-28 00:52:32"
5,2.08233496489426,999,4717.86314965244,9.44,0.794,"OK",905.8,"2026-08-28 01:07:54"
6,3.43318994934377,42,5060.38963206906,12.8,1.3,"OK",805.7,"2026-08-28 01:21:37"
6,3.43318994934377,123,4544.31294064738,8.12,0.639,"OK",906,"2026-08-28 15:39:37"
6,3.43318994934377,999,4706.23107211743,9.21,0.798,"OK",640.5,"2026-08-28 15:50:34"
7,5.66037329583698,42,2856.12210930397,1.06,0.118,"OK",654.7,"2026-08-28 16:01:45"
7,5.66037329583698,123,4564.17219722376,8.45,0.637,"OK",712.1,"2026-08-28 16:13:59"
7,5.66037329583698,999,2864.34709124304,1.01,0.119,"OK",763.4,"2026-08-28 16:26:59"
1,0.281813392267467,7,4723.59506699218,9.56,0.763,"OK",978,"2026-08-28 18:49:47"
1,0.281813392267467,2024,4532.29252528613,7.76,0.641,"OK",1018.1,"2026-08-28 19:07:02"
2,0.464631734199532,7,2846.27801817457,0.952,0.119,"OK",995.1,"2026-08-28 19:23:55"
2,0.464631734199532,2024,2847.20837435878,0.965,0.119,"OK",984.5,"2026-08-28 19:40:36"
3,0.766048223217056,7,4728.90053684617,9.84,0.745,"OK",941.1,"2026-08-28 19:56:34"
3,0.766048223217056,2024,2852.92570482135,0.983,0.119,"OK",976.3,"2026-08-28 20:13:07"
4,1.263,7,4729.71473739158,9.76,0.752,"OK",926.5,"2026-08-28 20:28:50"
4,1.263,2024,2852.49192207079,0.977,0.12,"OK",959.9,"2026-08-28 20:45:07"
5,2.08233496489426,7,2853.34161615972,0.978,0.119,"OK",959.7,"2026-08-28 21:01:23"
5,2.08233496489426,2024,2860.37374794166,0.993,0.119,"OK",957.6,"2026-08-28 21:17:37"
6,3.43318994934377,7,2844.14854435626,1.05,0.116,"OK",952.1,"2026-08-28 21:33:46"
6,3.43318994934377,2024,2865.77397995989,1,0.12,"OK",952.1,"2026-08-28 21:49:55"
7,5.66037329583698,7,4726.95023985249,9.5,0.77,"OK",875.8,"2026-08-28 22:04:47"
7,5.66037329583698,2024,2876.37629964706,1.03,0.12,"OK",941.9,"2026-08-28 22:20:46"
